pdbId	chainIds1	chainIds2	scopes1	scopes2
4hpl	A	B	0.0.0.0	0.0.0.0
5wy8	A	B	0.0.0.0	0.0.0.0
4ojk	D	B	0.0.0.0	c.37.1.0
1uqs	B	A	b.1.1.2	b.1.1.2:d.19.1.1
5b4p	A	B	0.0.0.0	0.0.0.0
2gol	B	A	a.73.1.1	a.61.1.1
5cw5	D	A	0.0.0.0	0.0.0.0
2c7m	B	A	d.15.1.1	g.39.1.15
4q57	A	B	0.0.0.0	a.40.1.0:a.40.1.1
3k1r	A	B	0.0.0.0	0.0.0.0
5tpz	A	D	0.0.0.0	0.0.0.0
3tnf	B	A	0.0.0.0	c.37.1.8
1sc5	A	B	a.177.1.1:a.4.13.1:a.4.13.2	a.137.11.1
1m2o	A	B	a.71.2.1:b.2.8.1:c.62.1.2:d.109.2.1:g.41.10.1	c.37.1.8
5mbl	A	B	0.0.0.0	0.0.0.0
1eai	C	A	g.22.1.1	b.47.1.2
2pqr	C	A	0.0.0.0	a.118.8.1
1p8z	A	G	c.55.1.1:c.55.1.1	d.109.1.1
3qf4	B	A	c.37.1.0:f.37.1.0	0.0.0.0
6axf	B	A	c.37.1.8	0.0.0.0
3brv	D	C	0.0.0.0	0.0.0.0
1miu	B	A	j.136.1.1	a.170.1.1:a.171.1.1:b.40.4.3:b.40.4.3:b.40.4.3
1oqx	A	C	b.1.1.2:b.1.1.2	k.13.1.1
2pjw	V	H	0.0.0.0	0.0.0.0
5jp1	A	B	0.0.0.0	d.15.1.0
1zt4	A	B	b.1.1.2:d.19.1.1	b.1.1.2
5n7e	B	A	0.0.0.0	0.0.0.0
1op9	A	B	b.1.1.1	d.2.1.2
3tbi	A	B	0.0.0.0	0.0.0.0
6aw2	B	A	0.0.0.0	0.0.0.0
3f6z	C	D	d.2.1.2	0.0.0.0
3sjv	D	E	0.0.0.0	0.0.0.0
4i1s	B	A	0.0.0.0	0.0.0.0
6amb	A	B	c.37.1.8	0.0.0.0
5ck3	A	B	0.0.0.0	0.0.0.0
3ong	B	C	d.20.1.1	0.0.0.0
2r17	C	A	0.0.0.0	d.159.1.7
3uou	A	B	b.47.1.2	g.8.1.1
3a1p	A	B	0.0.0.0	0.0.0.0
3fru	A	B	b.1.1.2:d.19.1.1	b.1.1.2
3vhl	B	A	c.37.1.8	0.0.0.0
2y5b	B	A	d.15.1.1:d.15.1.1	d.3.1.0
4yjz	L	E	b.1.1.0:b.1.1.0	0.0.0.0
3vpj	E	A	0.0.0.0	0.0.0.0
2b59	B	A	a.139.1.1:b.3.2.2	b.2.2.2
2ygg	B	A	a.39.1.5	0.0.0.0
2f9d	A	P	d.58.7.1	j.148.1.1
4y2o	B	A	0.0.0.0	0.0.0.0
5y04	B	A	0.0.0.0	a.24.9.1:a.24.9.1
5elj	B	A	0.0.0.0	0.0.0.0
1yru	B	A	a.39.1.5	0.0.0.0
1dtd	A	B	c.56.5.1	g.30.1.1
3u0w	H	L	0.0.0.0	b.1.1.0:b.1.1.2
4b1y	M	B	0.0.0.0	c.55.1.0:c.55.1.1
3nmn	B	A	0.0.0.0	0.0.0.0
3eo0	B	A	0.0.0.0	b.1.1.1:b.1.1.2
3vti	B	D	0.0.0.0	0.0.0.0
6bzf	B	A	0.0.0.0	0.0.0.0
5ee5	A	B	0.0.0.0	c.37.1.8
5kyj	F	E	a.123.1.1:l.1.1.1	a.123.1.1
3ldz	C	F	a.118.9.0	d.15.1.1
5nkz	A	C	0.0.0.0	0.0.0.0
5es4	B	A	0.0.0.0	0.0.0.0
4kbm	B	A	0.0.0.0	0.0.0.0
3ixe	B	A	0.0.0.0	0.0.0.0
4wwa	A	B	0.0.0.0	0.0.0.0
6aw3	A	B	0.0.0.0	0.0.0.0
5lhr	B	A	b.1.1.1	b.47.1.2
4rs1	A	B	a.26.1.2	0.0.0.0
2g2w	A	B	e.3.1.1	d.98.1.1
3pb1	E	I	b.47.1.2	e.1.1.1
1zt4	C	D	b.1.1.0:d.19.1.1	b.1.1.2
3fxe	A	B	0.0.0.0	0.0.0.0
5jqh	C	A	0.0.0.0	0.0.0.0
4lhq	A	B	d.165.1.1	b.1.1.1
1lpa	B	A	b.12.1.2:c.69.1.19	g.3.10.1:g.3.10.1
4llm	B	A	0.0.0.0	0.0.0.0
5dcq	F	C	0.0.0.0	0.0.0.0
1bgs	A	E	d.1.1.2	c.9.1.1
5wb8	B	D	0.0.0.0	0.0.0.0
3usc	L	S	e.18.1.0	e.19.1.0
5h65	B	A	0.0.0.0	0.0.0.0
5lhp	A	B	b.47.1.2	b.1.1.0
1xt9	B	A	d.15.1.1	d.3.1.7
1cxz	A	B	c.37.1.8	a.2.6.1
5jw7	A	B	0.0.0.0	0.0.0.0
4igl	A	B	0.0.0.0	0.0.0.0
5vt9	C	A	0.0.0.0	a.39.1.0
2es4	A	D	c.69.1.18	a.137.15.1
5vpa	B	A	h.1.3.1	h.1.3.0
3mdb	C	A	0.0.0.0	b.26.1.0
2qb0	A	D	a.60.1.1	0.0.0.0
4jt5	D	B	0.0.0.0	0.0.0.0
1nw9	B	A	c.17.1.1	g.52.1.1
1fyh	B	A	b.1.2.1:b.1.2.1	a.26.1.3:a.26.1.3
1lqv	C	A	g.32.1.1	d.19.1.1
3tni	B	A	0.0.0.0	0.0.0.0
5ioh	A	B	d.159.1.3	0.0.0.0
1bdj	A	B	c.23.1.1	a.24.10.1
4ozr	U	E	a.123.1.1	0.0.0.0
4eoz	D	C	0.0.0.0	0.0.0.0
5ky9	A	B	0.0.0.0	g.3.11.0
3peu	A	B	c.37.1.0	0.0.0.0
4bwq	E	F	c.47.1.8	0.0.0.0
3gku	A	B	0.0.0.0	0.0.0.0
3a5l	S	C	d.109.1.1	c.55.1.0:c.55.1.1
3dxd	A	B	b.55.1.0	0.0.0.0
1bxr	D	C	c.23.16.1:c.8.3.1	a.92.1.1:c.24.1.1:c.30.1.1:c.30.1.1:d.142.1.2:d.142.1.2
3qeu	D	E	b.1.1.1:b.1.1.2	b.1.1.0:b.1.1.2
4fza	A	B	a.118.1.15	d.144.1.0
1t0p	A	B	c.62.1.1	0.0.0.0
2xpp	A	B	0.0.0.0	0.0.0.0
5bnb	E	C	d.15.1.1	d.20.1.1
5my6	A	B	c.10.2.0:c.10.2.0:g.3.9.0	b.1.1.1
4txv	A	B	c.47.1.10	0.0.0.0
1a0o	B	A	d.58.24.1	c.23.1.1
1l0x	A	B	b.1.1.1:b.1.1.2	b.40.2.2:d.15.6.1
4pkh	D	E	c.55.1.1:c.55.1.1	d.109.1.1
3hgk	F	A	0.0.0.0	0.0.0.0
3h4s	E	A	0.0.0.0	c.37.1.9
3tnq	A	B	0.0.0.0	d.144.1.7
3ejd	B	A	a.104.1.0	a.28.1.1
2nu0	E	I	b.47.1.1	g.68.1.1
4tvs	a	A	b.1.1.1	0.0.0.0
4c5g	B	A	0.0.0.0	0.0.0.0
4egc	B	A	0.0.0.0	0.0.0.0
5nvn	B	A	0.0.0.0	d.86.1.0
3oak	D	A	0.0.0.0	0.0.0.0
5fxy	A	B	0.0.0.0	0.0.0.0
1ahj	B	A	b.34.4.4	d.149.1.1
3fbi	B	A	0.0.0.0	0.0.0.0
3l4q	A	C	d.299.1.1	h.4.21.1
2zjs	E	Y	0.0.0.0	0.0.0.0
5xiu	B	A	d.15.1.1	0.0.0.0
3lb6	C	A	0.0.0.0	a.26.1.2
1ak4	D	A	a.73.1.1	b.62.1.1
4kc3	B	A	0.0.0.0	0.0.0.0
2wus	R	A	0.0.0.0	c.55.1.1:c.55.1.1
2znw	A	Y	b.1.1.0:b.1.1.0	d.2.1.2
2sec	E	I	c.41.1.1	d.40.1.1
2xgy	B	A	b.62.1.1	a.73.1.0
1tue	A	B	c.37.1.20	b.91.1.1
1gua	A	B	c.37.1.8	d.15.1.5
2tld	I	E	d.84.1.1	b.47.1.2
5ffn	I	A	d.40.1.1	c.41.1.1
4jfh	D	E	b.1.1.1:b.1.1.2	b.1.1.0:b.1.1.2
4zn1	B	A	g.41.9.0	0.0.0.0
5v3o	C	A	0.0.0.0	0.0.0.0
2gjz	H	L	0.0.0.0	b.1.1.0:b.1.1.1
4lgb	B	A	0.0.0.0	0.0.0.0
2p1l	A	B	f.1.4.1	0.0.0.0
4dfc	A	B	0.0.0.0	0.0.0.0
5nrm	B	A	a.139.1.0	b.2.2.2
4qjv	B	A	0.0.0.0	0.0.0.0
5c7j	C	A	d.15.1.1:l.1.1.1	d.148.1.0
4w6w	B	A	b.1.1.1	0.0.0.0
4cdk	A	E	0.0.0.0	g.3.9.1
4rlu	B	A	0.0.0.0	0.0.0.0
1tec	E	I	c.41.1.1	d.40.1.1
1clv	I	A	g.3.2.1	b.71.1.1:c.1.8.1
5nuh	A	D	d.102.1.0	b.34.2.1
2yin	B	D	0.0.0.0	c.37.1.8
1frv	A	B	e.19.1.1	e.18.1.1
4cbx	G	A	d.109.1.1	c.55.1.0:c.55.1.0
3cf4	G	A	0.0.0.0	0.0.0.0
3wn7	A	B	0.0.0.0	0.0.0.0
2d5r	A	B	c.55.3.9	d.370.1.1
3l1z	A	B	d.20.1.1	0.0.0.0
3zl7	C	A	0.0.0.0	0.0.0.0
4a5u	A	B	0.0.0.0	0.0.0.0
3e2k	A	D	0.0.0.0	d.98.1.1
1fss	A	B	c.69.1.1	g.7.1.1
5ihl	B	A	0.0.0.0	0.0.0.0
2voi	A	B	f.1.4.0	0.0.0.0
1jch	C	D	b.101.1.1:b.110.1.1:h.4.9.1	d.26.2.1
3zrk	X	A	0.0.0.0	d.144.1.7
4hwi	A	B	c.55.1.1:c.55.1.1	0.0.0.0
3gmw	A	B	e.3.1.1	d.98.1.0
5j1m	A	B	0.0.0.0	0.0.0.0
3p77	A	B	b.1.1.0:d.19.1.0	b.1.1.0
2c1d	A	B	a.3.1.0:a.3.1.0	a.3.1.0
5l3r	B	A	0.0.0.0	0.0.0.0
1ira	Y	X	b.1.1.4:b.1.1.4:b.1.1.4	b.42.1.2
3kmw	A	B	d.144.1.0	0.0.0.0
4lsx	C	A	0.0.0.0	0.0.0.0
4mx7	A	B	b.1.1.0:d.19.1.0	b.1.1.2
3brt	D	C	0.0.0.0	0.0.0.0
5vxk	A	B	a.250.1.1	b.1.1.0
1fq1	A	B	c.45.1.1	d.144.1.7
2vsk	A	B	0.0.0.0	0.0.0.0
2x9a	D	C	d.212.1.1	b.37.1.0
2bku	B	A	a.118.1.1	c.37.1.8
4zv0	A	B	0.0.0.0	0.0.0.0
4y5o	B	A	0.0.0.0	0.0.0.0
5z2q	C	B	0.0.0.0	0.0.0.0
2zae	B	A	0.0.0.0	0.0.0.0
1e3d	B	A	e.18.1.1	e.19.1.1
5kji	B	A	0.0.0.0	0.0.0.0
3ddr	C	A	d.35.1.1	0.0.0.0
1svx	B	A	c.94.1.1	k.37.1.1
4li2	A	B	0.0.0.0	g.3.9.1
2b12	B	A	0.0.0.0	a.93.1.1
3ve1	A	B	0.0.0.0	0.0.0.0
3zhe	B	A	0.0.0.0	0.0.0.0
4qj5	A	B	0.0.0.0	0.0.0.0
4l0p	B	A	b.6.1.5	b.18.1.4
4x63	A	B	0.0.0.0	0.0.0.0
2vuu	A	I	c.2.1.2	g.39.1.0
3vlb	A	B	b.50.1.0	b.29.1.0
5v90	C	D	0.0.0.0	0.0.0.0
1pk0	D	A	a.39.1.5	e.41.1.1
4c0q	A	C	0.0.0.0	0.0.0.0
5oc7	A	C	0.0.0.0	0.0.0.0
3tsr	E	A	c.10.1.1	d.5.1.1
2dfx	E	I	d.243.1.2	d.311.1.1:l.1.1.1
3msx	B	A	a.116.1.0	c.37.1.8
5t94	A	B	0.0.0.0	0.0.0.0
3eyo	A	B	b.1.1.0:b.1.1.2	0.0.0.0
4yk8	B	A	0.0.0.0	0.0.0.0
4lc9	A	B	0.0.0.0	0.0.0.0
3c0t	B	A	0.0.0.0	0.0.0.0
3c6e	A	C	b.1.18.0:f.10.1.1	0.0.0.0
2ex3	A	B	c.55.3.5:e.8.1.1	a.263.1.1
3ph0	C	A	0.0.0.0	0.0.0.0
3s97	B	D	b.74.1.0	b.1.1.0:b.1.1.0
5foj	B	A	0.0.0.0	0.0.0.0
3t06	B	A	c.37.1.8	a.87.1.1:b.55.1.1
2fl5	H	L	0.0.0.0	b.1.1.0:b.1.1.0
5ncm	A	B	a.29.7.0	0.0.0.0
5fio	A	B	0.0.0.0	0.0.0.0
5g37	B	A	0.0.0.0	0.0.0.0
4u39	J	A	0.0.0.0	c.32.1.0:d.79.2.0
2qsf	A	X	0.0.0.0	0.0.0.0
2g56	A	C	0.0.0.0	0.0.0.0
1em8	B	A	c.126.1.1	c.128.1.1
4lzx	B	A	0.0.0.0	a.39.1.5
4xax	B	A	0.0.0.0	0.0.0.0
3ei4	A	B	0.0.0.0	0.0.0.0
5b64	B	A	0.0.0.0	0.0.0.0
4e18	B	A	0.0.0.0	a.24.9.1:a.24.9.1
1r0r	E	I	c.41.1.1	g.68.1.1
5iwb	A	B	0.0.0.0	0.0.0.0
5kzm	B	A	c.79.1.1	c.1.2.4
3ul4	B	A	a.139.1.0	b.2.2.0
5f9d	C	A	b.1.1.1	0.0.0.0
3d6n	B	A	c.78.1.0:c.78.1.0	0.0.0.0
2ziv	B	A	0.0.0.0	0.0.0.0
4hcp	B	A	d.15.1.1	0.0.0.0
4jra	A	D	b.29.1.6:b.42.4.2	0.0.0.0
5aqq	F	E	0.0.0.0	c.55.1.1:c.55.1.1
4u2x	A	D	0.0.0.0	0.0.0.0
4cw7	G	H	0.0.0.0	0.0.0.0
3t6g	B	A	0.0.0.0	0.0.0.0
4pj2	D	A	0.0.0.0	0.0.0.0
2rd7	A	C	0.0.0.0	b.60.1.1
4ii3	B	A	d.15.1.1	0.0.0.0
4hff	A	B	0.0.0.0	0.0.0.0
2g77	A	B	a.69.2.1:a.69.2.1	c.37.1.8
2yho	A	B	0.0.0.0	d.20.1.1
4eig	B	A	b.1.1.1	c.71.1.1
2f3c	E	I	b.47.1.2	g.68.1.1
3p8b	A	B	g.41.9.3	0.0.0.0
4af3	A	D	d.144.1.7	0.0.0.0
4m69	B	A	d.144.1.0	0.0.0.0
2j0t	D	A	b.40.3.1	d.92.1.11
4mgz	R	E	c.37.1.8	0.0.0.0
1bzq	L	A	b.1.1.1	d.5.1.1
2v52	M	B	0.0.0.0	0.0.0.0
5x42	A	B	0.0.0.0	0.0.0.0
4jsp	C	A	0.0.0.0	a.24.7.1:a.24.7.1:d.144.1.4
5j1a	B	A	b.1.1.2	b.1.1.0:d.19.1.0
5wyh	A	B	d.159.1.7	0.0.0.0
2o25	D	A	d.20.1.1	a.5.2.1:d.20.1.1
3gqi	A	B	d.144.1.7	d.93.1.1:d.93.1.1
4rsi	B	A	0.0.0.0	0.0.0.0
5szj	B	A	0.0.0.0	c.37.1.0
5mn0	B	A	0.0.0.0	0.0.0.0
1xg2	B	A	a.29.6.0	b.80.1.5
5vko	A	B	0.0.0.0	0.0.0.0
1an1	E	I	b.47.1.2	g.68.1.1
4tq0	A	B	0.0.0.0	0.0.0.0
2a1u	B	A	c.26.2.3	c.26.2.3:c.31.1.0
3u4l	A	P	c.55.1.0:c.55.1.1	d.110.1.1
1zs8	A	B	b.1.1.2:d.19.1.1	b.1.1.2
1zud	1	2	c.111.1.0	d.15.3.2
1oc0	B	A	g.64.1.1	e.1.1.1
1doa	A	B	c.37.1.8	b.1.18.8
4oh8	B	A	0.0.0.0	0.0.0.0
4f7c	B	A	b.1.1.2	b.1.1.2:d.19.1.1
5ja8	A	B	0.0.0.0	b.1.1.1
1z92	A	B	a.26.1.2	g.18.1.1:g.18.1.1
5kis	B	A	0.0.0.0	0.0.0.0
4bxs	A	V	0.0.0.0	0.0.0.0
2ot3	B	A	c.37.1.8	a.222.1.1
2b3t	B	A	e.38.1.1	c.66.1.30
1yvn	G	A	d.109.1.1	c.55.1.1:c.55.1.1
5eo9	B	A	0.0.0.0	0.0.0.0
1nf3	A	C	c.37.1.8	b.36.1.1
5v52	D	A	b.1.1.0	0.0.0.0
4kkx	A	B	c.1.2.4	c.79.1.1
4o4b	B	A	0.0.0.0	c.94.1.1
4otu	B	A	0.0.0.0	0.0.0.0
5j3y	B	A	0.0.0.0	0.0.0.0
1x86	B	A	c.37.1.8	a.87.1.1:b.55.1.1
4v0m	E	F	0.0.0.0	0.0.0.0
4v0v	B	A	0.0.0.0	d.159.1.3
5chl	B	A	0.0.0.0	0.0.0.0
3lkx	B	A	0.0.0.0	0.0.0.0
5dmb	D	A	b.151.1.0	0.0.0.0
3pt2	A	B	0.0.0.0	d.15.1.1
3eid	A	B	d.144.1.7	a.74.1.1:a.74.1.1
3rnk	B	A	b.1.1.0	b.1.1.1
4z94	G	A	0.0.0.0	c.55.1.1:c.55.1.1
1zoq	A	C	0.0.0.0	a.153.1.1
5upl	A	B	d.144.1.0	c.37.1.8
4n7s	A	B	0.0.0.0	0.0.0.0
1bqq	M	T	d.92.1.11	b.40.3.1
4xkl	B	A	0.0.0.0	d.15.1.0
1brb	E	I	b.47.1.2	g.8.1.1
1udi	I	E	d.17.5.1	c.18.1.1
4zri	A	C	a.11.2.0:b.55.1.0:d.15.1.0	0.0.0.0
5ikj	B	A	0.0.0.0	0.0.0.0
1p2o	B	A	g.8.1.1	b.47.1.2
4wm0	A	D	0.0.0.0	g.3.11.1
4ccg	Y	B	0.0.0.0	d.20.1.1
2qkh	A	B	0.0.0.0	0.0.0.0
4bpx	D	C	0.0.0.0	0.0.0.0
3c98	A	B	e.25.1.1	a.47.2.1
5fi1	B	A	0.0.0.0	0.0.0.0
2pm9	B	A	0.0.0.0	0.0.0.0
5ohk	B	A	d.15.1.1	d.3.1.0
3ihp	C	A	d.15.1.1	0.0.0.0
5wkg	A	B	b.1.1.0:d.19.1.1	b.1.1.2
2c1t	A	C	a.118.1.1	0.0.0.0
2wmp	A	B	b.1.11.1:b.7.2.1	0.0.0.0
1xfp	L	A	d.2.1.2	b.1.1.1
4w6x	A	B	0.0.0.0	b.1.1.1
1lot	A	B	a.126.1.1:a.126.1.1:a.126.1.1	c.55.1.1:c.55.1.1
1ylc	B	A	g.8.1.1	b.47.1.2
5iva	A	B	0.0.0.0	0.0.0.0
2d74	A	B	0.0.0.0	d.241.1.0:g.59.1.0
1te1	B	A	b.29.1.11	c.1.8.5
6c0b	A	B	0.0.0.0	a.141.1.0
4nc2	B	A	b.1.1.0	0.0.0.0
2y4i	C	B	0.0.0.0	0.0.0.0
4glv	A	B	d.2.1.2	0.0.0.0
4pas	A	B	0.0.0.0	0.0.0.0
3mp7	A	B	f.41.1.0	0.0.0.0
4tkp	B	A	0.0.0.0	d.20.1.1
5mje	B	A	b.1.1.1	0.0.0.0
5d2m	D	F	d.20.1.1	a.118.12.1
6azp	A	B	0.0.0.0	0.0.0.0
1hx1	A	B	c.55.1.1:c.55.1.1	a.7.7.1
3eyq	D	C	0.0.0.0	b.1.1.1:b.1.1.2
2c0j	A	B	d.278.1.2	0.0.0.0
3wee	A	B	0.0.0.0	0.0.0.0
4luq	A	C	0.0.0.0	0.0.0.0
4mrm	A	B	0.0.0.0	0.0.0.0
5brk	B	A	0.0.0.0	a.29.7.1
5lrx	A	B	0.0.0.0	d.15.1.1
4f3l	B	A	0.0.0.0	0.0.0.0
3kf8	B	A	0.0.0.0	0.0.0.0
4zge	A	B	0.0.0.0	b.34.4.0
3g3b	B	A	d.2.1.2	c.10.2.0
1zun	B	A	b.43.3.1:b.44.1.1:c.37.1.8	c.26.2.2
3h3b	A	C	c.10.2.5:g.3.9.0	b.1.1.0
1nql	B	A	g.3.11.1	c.10.2.5:c.10.2.5:g.3.9.1:g.3.9.1
4a9a	A	C	0.0.0.0	0.0.0.0
2pcb	A	B	a.93.1.1	a.3.1.1
5lda	B	A	d.15.3.2	0.0.0.0
4xa9	A	a	0.0.0.0	0.0.0.0
2x19	B	A	0.0.0.0	c.37.1.8
4u0q	A	B	0.0.0.0	b.1.1.0:b.1.1.0
3x37	A	B	0.0.0.0	0.0.0.0
4bdt	A	B	0.0.0.0	g.7.1.1
5j28	A	C	d.159.1.3	0.0.0.0
1jk9	A	B	b.1.8.1	b.1.8.1:d.58.17.1
3h7h	A	B	0.0.0.0	0.0.0.0
1n4r	J	I	a.102.4.3	a.118.6.1
1fqk	B	A	a.91.1.1	a.66.1.1:c.37.1.8
3fhc	B	A	c.37.1.0	0.0.0.0
1fqv	A	B	a.158.1.1:c.10.1.3	a.157.1.1:d.42.1.1
5d6h	A	B	0.0.0.0	0.0.0.0
3wxx	B	A	0.0.0.0	0.0.0.0
1c9p	A	B	b.47.1.2	g.3.15.1
3lwn	F	A	0.0.0.0	c.37.1.8
3wy9	C	A	0.0.0.0	0.0.0.0
5boz	G	A	b.1.1.1	d.165.1.1
4rca	B	A	c.10.2.0	0.0.0.0
2yc2	D	A	0.0.0.0	b.18.1.0
2oob	B	A	d.15.1.1	0.0.0.0
3s48	A	D	b.1.28.1	a.1.1.2
3vvw	A	B	0.0.0.0	d.15.1.0
2fot	C	A	0.0.0.0	a.39.1.5
3jua	B	A	0.0.0.0	0.0.0.0
4yi0	C	A	a.118.1.1	0.0.0.0
3znh	B	A	0.0.0.0	0.0.0.0
4lgd	E	A	0.0.0.0	0.0.0.0
4h5s	B	A	0.0.0.0	0.0.0.0
1oe9	B	A	a.39.1.5	b.34.3.1:c.37.1.9
5cvm	B	A	d.15.1.1:l.1.1.1	d.3.1.0
4yfd	B	A	0.0.0.0	0.0.0.0
4eow	L	H	b.1.1.0:b.1.1.2	0.0.0.0
3nvn	A	B	0.0.0.0	0.0.0.0
5c46	E	F	0.0.0.0	c.37.1.8
4yc6	A	B	d.144.1.7	d.97.1.1
5wmm	A	B	0.0.0.0	d.100.2.0
4pub	L	H	b.1.1.0:b.1.1.2	0.0.0.0
4u6u	A	B	0.0.0.0	0.0.0.0
5moy	A	B	b.29.1.6:b.42.4.2	0.0.0.0
4czd	B	A	0.0.0.0	0.0.0.0
1j2j	B	A	a.7.8.1	c.37.1.8
4khb	B	A	0.0.0.0	0.0.0.0
4krl	B	A	b.1.1.1	c.10.2.5:g.3.9.0
3b0c	T	W	0.0.0.0	0.0.0.0
5fvd	A	B	0.0.0.0	0.0.0.0
3ejz	E	F	0.0.0.0	b.1.1.1:b.1.1.2
5c5b	A	B	a.238.1.1:b.55.1.0	a.238.1.0:b.55.1.0
3f1s	B	A	0.0.0.0	e.1.1.0
5l6e	A	B	0.0.0.0	0.0.0.0
1xl3	A	C	a.243.1.3	a.243.1.1
5ijv	A	B	b.1.1.0:b.1.1.0	0.0.0.0
5gy2	C	A	0.0.0.0	0.0.0.0
1i1q	A	B	d.161.1.1	c.23.16.1
4f70	B	A	0.0.0.0	0.0.0.0
4w5v	A	B	d.20.1.0	0.0.0.0
5mlb	B	A	0.0.0.0	0.0.0.0
2dym	A	B	0.0.0.0	0.0.0.0
5y38	B	A	0.0.0.0	0.0.0.0
1zhn	A	B	b.1.1.0:d.19.1.1	b.1.1.2
6bx5	A	C	0.0.0.0	b.1.2.0
5ja1	B	A	d.100.2.0	0.0.0.0
4pju	B	A	0.0.0.0	0.0.0.0
5bxf	B	A	b.1.1.2	b.1.1.2:d.19.1.0
5u51	C	A	a.45.1.0:c.47.1.0	0.0.0.0
2omw	B	A	b.1.6.1	b.1.18.15:c.10.2.1
4nbx	B	A	b.1.1.1	0.0.0.0
3c0r	D	C	d.15.1.1	0.0.0.0
2vn6	A	B	b.2.2.2	a.139.1.0
3fpu	B	A	d.9.1.1	0.0.0.0
4krm	G	H	c.10.2.5	b.1.1.1
1exu	A	B	b.1.1.2:d.19.1.1	b.1.1.2
5gna	B	A	0.0.0.0	0.0.0.0
2hla	A	B	b.1.1.2:d.19.1.1	b.1.1.2
5nj5	B	A	d.283.1.0	0.0.0.0
4akr	A	B	e.43.1.0	e.43.1.2
5v6a	A	B	d.15.1.0:d.3.1.23	d.15.1.0
4yh8	B	A	0.0.0.0	0.0.0.0
4wxa	E	B	0.0.0.0	0.0.0.0
1ri8	A	B	b.1.1.1	d.2.1.2
1g0v	B	A	a.137.7.1	b.50.1.2
1dml	A	B	d.131.1.2:d.131.1.2	0.0.0.0
3nvm	A	B	0.0.0.0	0.0.0.0
4xyd	A	B	0.0.0.0	0.0.0.0
3gyx	B	A	0.0.0.0	0.0.0.0
3zet	A	B	c.55.1.0:c.55.1.0	0.0.0.0
4cpa	A	I	c.56.5.1	g.3.2.1
6apx	A	B	0.0.0.0	0.0.0.0
3a2f	A	B	c.55.3.0:e.8.1.0	d.131.1.2:d.131.1.2
1y8x	B	A	c.111.1.2	d.20.1.1
2y9y	A	B	0.0.0.0	0.0.0.0
1ava	A	C	b.71.1.1:c.1.8.1	b.42.4.1
5dmj	B	A	b.1.1.1	0.0.0.0
4mdk	E	A	d.15.1.1	d.20.1.0
2zsh	A	B	0.0.0.0	0.0.0.0
4wem	A	B	0.0.0.0	b.1.1.1
4gy0	B	A	0.0.0.0	0.0.0.0
1p27	C	D	d.232.1.1	d.58.7.1
4fxw	B	A	0.0.0.0	d.58.7.1
5ief	B	A	0.0.0.0	0.0.0.0
3m62	B	A	d.15.1.0	0.0.0.0
5f3x	A	B	0.0.0.0	0.0.0.0
2vu8	I	E	0.0.0.0	0.0.0.0
1pvh	B	A	a.26.1.1	b.1.2.1:b.1.2.1
5abu	B	A	0.0.0.0	d.86.1.0
3w5u	A	B	b.43.4.0:c.25.1.0	d.15.4.1
5n48	B	A	b.1.2.1	b.60.1.1
4cdg	A	C	0.0.0.0	b.1.1.1
5nh2	A	B	0.0.0.0	0.0.0.0
4zdh	B	A	b.1.1.0:b.1.1.0	b.1.1.1:b.1.1.2
3m1f	A	V	0.0.0.0	0.0.0.0
2wip	B	A	a.74.1.1:a.74.1.1	d.144.1.7
4nm4	L	H	b.1.1.0:b.1.1.2	0.0.0.0
2p4a	A	B	d.5.1.1	b.1.1.1
4fq0	C	B	0.0.0.0	0.0.0.0
3aqc	B	A	0.0.0.0	0.0.0.0
1m1x	B	A	b.1.15.1:c.62.1.1:d.200.1.1:g.3.11.6:g.3.11.6	b.1.15.1:b.1.15.1:b.1.15.1:b.69.8.1
3tw8	A	B	0.0.0.0	c.37.1.0
1u6a	L	H	b.1.1.0:b.1.1.2	b.1.1.1:b.1.1.2
5lz3	B	A	0.0.0.0	0.0.0.0
6g4q	B	A	0.0.0.0	c.2.1.8:c.23.4.1
3l2o	B	A	0.0.0.0	d.42.1.1
4giz	A	C	0.0.0.0	0.0.0.0
5j4q	B	A	g.3.13.1	b.47.1.2
3cx6	B	A	a.91.1.1	0.0.0.0
2rax	B	A	0.0.0.0	g.52.1.1
3eoc	A	B	0.0.0.0	0.0.0.0
4tu3	A	X	0.0.0.0	0.0.0.0
3c9a	B	D	0.0.0.0	0.0.0.0
2dtm	H	L	b.1.1.2	b.1.1.1:b.1.1.2
4gn4	A	B	d.2.1.2	0.0.0.0
4kdi	A	C	b.52.2.3:d.31.1.1	0.0.0.0
1pk1	D	C	a.60.1.0	a.60.1.2
3ujg	A	B	d.144.1.0	0.0.0.0
3lqz	A	B	0.0.0.0	0.0.0.0
2kin	B	A	0.0.0.0	c.37.1.9
5swt	B	A	0.0.0.0	0.0.0.0
5et1	C	A	0.0.0.0	0.0.0.0
2v9t	A	B	b.1.1.0	c.10.2.0
1bvn	T	P	b.5.1.1	b.71.1.1:c.1.8.1
3tho	A	B	0.0.0.0	0.0.0.0
1a2x	B	A	j.22.1.1	a.39.1.5
4h4k	C	A	0.0.0.0	0.0.0.0
2z3r	B	A	g.18.1.1	a.26.1.2
4ue8	B	A	0.0.0.0	d.86.1.0
3vx7	A	B	0.0.0.0	0.0.0.0
